#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-01-16 01:21:28"
#data_read_from_db	"2018-03-01 17:28:53"
#database_id	1472
#datapoints_in_db	128121
#database_reference_id	0
#integrated_value	0.026	6.3
#sample_label	"goldpaper0"
#sample_name	"Golden_glossy_paper"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-wjakob|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=17 poweron=8414 [h] last_change=951 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	26.8421	0
#intheta	26.8421
#inphi	0
#front_integral	0.0263
#incident_and_front_integral	26.8421	0	0.0263
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	127039
#format: theta	phi	[uA]
77.88526	23.11788	7.458e-05
77.85175	23.06874	7.643e-05
77.81730	23.01748	7.482e-05
77.78134	22.96414	8.253e-05
77.74533	22.90639	7.972e-05
77.71158	22.86020	7.820e-05
77.68079	22.81373	6.934e-05
77.64386	22.75825	8.100e-05
77.61105	22.71048	8.160e-05
77.57570	22.65779	7.701e-05
77.53954	22.60370	7.432e-05
77.50797	22.55654	7.318e-05
77.47339	22.50522	8.156e-05
77.43809	22.45324	8.107e-05
77.40267	22.40052	8.278e-05
77.36573	22.34572	8.355e-05
77.33411	22.29854	8.001e-05
77.29411	22.23960	7.712e-05
77.26317	22.19307	7.589e-05
77.22860	22.14245	7.667e-05
77.19390	22.09110	7.577e-05
77.15677	22.03554	7.784e-05
77.12426	21.98693	8.159e-05
77.08801	21.93349	8.232e-05
77.05338	21.88284	7.797e-05
77.01548	21.82659	7.326e-05
76.98130	21.77516	8.151e-05
76.94743	21.72589	7.749e-05
76.90257	21.65550	8.068e-05
76.87387	21.61682	8.275e-05
76.84137	21.56888	8.547e-05
76.80106	21.50912	7.720e-05
76.76854	21.46118	8.151e-05
76.72820	21.40139	8.391e-05
76.69262	21.34929	7.984e-05
76.66299	21.30474	8.184e-05
76.62505	21.24915	8.173e-05
76.58943	21.19702	9.056e-05
76.55440	21.14484	8.809e-05
76.51630	21.08848	8.558e-05
76.48054	21.03561	8.606e-05
76.44710	20.98621	8.819e-05
76.40989	20.93197	8.897e-05
76.37409	20.87908	8.598e-05
76.33827	20.82616	8.806e-05
76.29776	20.76629	8.656e-05
76.26590	20.71966	8.592e-05
76.22678	20.66112	8.791e-05
76.19021	20.60751	9.202e-05
76.15433	20.55456	8.907e-05
76.12008	20.50442	9.518e-05
76.08331	20.44562	9.030e-05
76.04102	20.38659	8.287e-05
76.00427	20.33220	8.627e-05
75.97079	20.28344	8.920e-05
75.93474	20.22972	9.040e-05
75.89867	20.17598	9.372e-05
75.85954	20.11808	9.261e-05
75.82580	20.06783	9.194e-05
75.78888	20.01266	9.205e-05
75.75134	19.95755	9.106e-05
75.71297	19.90102	8.967e-05
75.67428	19.84228	8.939e-05
75.63977	19.79130	9.139e-05
